Category title,Sub-category title,Class title,Sub-class title,Title names,Link items,Item description,Item tech,Item information
Phụ kiện kim khí,Vít,,,Vít đầu dù mạ bạc Unika P-438-SDN (Drill set),https://super-mro.com/san-pham/plug-screw-unika-p-438-sdn-drill-set.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Bosch, Khác, Unika là những hãng sản xuất thiết bị công nghiệp, Vít nổi tiếng Việt Nam và thế giới., Vít đầu dù mạ bạc Unika P-438-SDN (Drill set) là sản phẩm nổi tiếng của hãng Unika, bạn có thể mua Vít đầu dù mạ bạc Unika P-438-SDN (Drill set) giá rẻ nhất tại Super-mro chỉ với 122,100đ/Bộ","['Đường kính mũi:4mm', 'Chiều dài:38mm', 'Kiểu đầu:Đầu dù']","['Thương hiệu: Unika', 'Mã hệ thống: 330968', 'Model hãng: P-438-SDN (Drill set)', 'Đơn vị: Bộ']"
Phụ kiện kim khí,,,,Dưỡng kiểm lỗ YAMAWA CPC-T M6x1(CPCT6.0M),https://super-mro.com/san-pham/duong-kiem-lo-yamawa-cpc-t-m6x1-cpct6-0m.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Toptul, Kyoritsu, Khác, Yamawa, Dongcheng, Koyo, Hyundai, MB, HQ, SKF, Trung Quốc là những hãng sản xuất thiết bị công nghiệp, Phụ kiện kim khí nổi tiếng Việt Nam và thế giới., Dưỡng kiểm lỗ YAMAWA CPC-T M6x1(CPCT6.0M) là sản phẩm nổi tiếng của hãng Yamawa, bạn có thể mua Dưỡng kiểm lỗ YAMAWA CPC-T M6x1(CPCT6.0M) giá rẻ nhất tại Super-mro chỉ với 261,000đ/Cái",['Quy cách:M6x1mm'],"['Thương hiệu: Yamawa', 'Mã hệ thống: 8E9365', 'Model hãng: CPCT6.0M', 'Đơn vị: Cái']"
Phụ kiện kim khí,Đinh thép,,,Đinh thép 10cm,https://super-mro.com/san-pham/dinh-thep-10cm.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Khác là những hãng sản xuất thiết bị công nghiệp, Đinh thép nổi tiếng Việt Nam và thế giới., Đinh thép 10cm là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Đinh thép 10cm giá rẻ nhất tại Super-mro chỉ với Liên hệ/Kg",['Quy cách:10cm'],"['Thương hiệu: Khác', 'Mã hệ thống: 8B6280', 'Đơn vị: Kg']"
Phụ kiện kim khí,Vòng đệm (Long đen),,,Vòng đệm bên trong 6922nb Makita 764417-8,https://super-mro.com/san-pham/vong-dem-ben-trong-6922nb-makita-764417-8.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita là những hãng sản xuất thiết bị công nghiệp, Vòng đệm (Long đen) nổi tiếng Việt Nam và thế giới., Vòng đệm bên trong 6922nb Makita 764417-8 là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Vòng đệm bên trong 6922nb Makita 764417-8 giá rẻ nhất tại Super-mro chỉ với 1,966,000đ/Cái",[],"['Thương hiệu: Makita', 'Mã hệ thống: 8C6301', 'Model hãng: 764417-8', 'Đơn vị: Cái']"
Phụ kiện kim khí,,,,Sứ lót đường hàn dẹt SC-A3 rãnh 10mm ( 36m/hộp),https://super-mro.com/san-pham/su-lot-duong-han-det-sc-a3-ranh-10mm-36m-hop.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Toptul, Kyoritsu, Khác, Yamawa, Dongcheng, Koyo, Hyundai, MB, HQ, SKF, Trung Quốc là những hãng sản xuất thiết bị công nghiệp, Phụ kiện kim khí nổi tiếng Việt Nam và thế giới., Sứ lót đường hàn dẹt SC-A3 rãnh 10mm ( 36m/hộp) là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Sứ lót đường hàn dẹt SC-A3 rãnh 10mm ( 36m/hộp) giá rẻ nhất tại Super-mro chỉ với 33,000đ/mét",[],"['Thương hiệu: Khác', 'Mã hệ thống: 8C1394', 'Model hãng: SC-A3', 'Đơn vị: mét']"
Phụ kiện kim khí,Đinh thép,Đinh tán đầu chìm,,Đinh rút nhôm M4x12,https://super-mro.com/san-pham/dinh-rut-nhom-m4x12.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Khác là những hãng sản xuất thiết bị công nghiệp, Đinh tán đầu chìm nổi tiếng Việt Nam và thế giới., Đinh rút nhôm M4x12 là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Đinh rút nhôm M4x12 giá rẻ nhất tại Super-mro chỉ với Liên hệ/Cái",[],"['Thương hiệu: Khác', 'Mã hệ thống: 8C9472', 'Đơn vị: Cái']"
Phụ kiện kim khí,Vít,,,Vít đầu bằng mạ bạc Unika F-635-SDN,https://super-mro.com/san-pham/plug-screw-unika-f-635-sdn.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Bosch, Khác, Unika là những hãng sản xuất thiết bị công nghiệp, Vít nổi tiếng Việt Nam và thế giới., Vít đầu bằng mạ bạc Unika F-635-SDN là sản phẩm nổi tiếng của hãng Unika, bạn có thể mua Vít đầu bằng mạ bạc Unika F-635-SDN giá rẻ nhất tại Super-mro chỉ với 122,100đ/Bộ","['Đường kính mũi:6mm', 'Chiều dài:35mm', 'Kiểu đầu:Đầu bằng']","['Thương hiệu: Unika', 'Mã hệ thống: 330960', 'Model hãng: F-635-SDN', 'Đơn vị: Bộ']"
Phụ kiện kim khí,Vòng đệm (Long đen),,,Vòng đệm bên trong 6922nb Makita 764418-6,https://super-mro.com/san-pham/vong-dem-ben-trong-6922nb-makita-764418-6.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita là những hãng sản xuất thiết bị công nghiệp, Vòng đệm (Long đen) nổi tiếng Việt Nam và thế giới., Vòng đệm bên trong 6922nb Makita 764418-6 là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Vòng đệm bên trong 6922nb Makita 764418-6 giá rẻ nhất tại Super-mro chỉ với 2,011,000đ/Cái",[],"['Thương hiệu: Makita', 'Mã hệ thống: 8C6302', 'Model hãng: 764418-6', 'Đơn vị: Cái']"
Phụ kiện kim khí,Vít,,,Vít đầu bằng mạ bạc Unika F-425-SDN (Drill set),https://super-mro.com/san-pham/plug-screw-unika-f-425-sdn-drill-set.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Bosch, Khác, Unika là những hãng sản xuất thiết bị công nghiệp, Vít nổi tiếng Việt Nam và thế giới., Vít đầu bằng mạ bạc Unika F-425-SDN (Drill set) là sản phẩm nổi tiếng của hãng Unika, bạn có thể mua Vít đầu bằng mạ bạc Unika F-425-SDN (Drill set) giá rẻ nhất tại Super-mro chỉ với 122,100đ/Cái","['Đường kính mũi:4mm', 'Chiều dài:25mm', 'Kiểu đầu:Đầu bằng']","['Thương hiệu: Unika', 'Mã hệ thống: 330969', 'Model hãng: F-425-SDN (Drill set)', 'Đơn vị: Cái']"
Phụ kiện kim khí,Đinh thép,Đinh tán đầu chìm,,Đinh rút phi 3mm 1000 cái/gói,https://super-mro.com/san-pham/dinh-rut-phi-3mm-1000-cai-goi.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Khác là những hãng sản xuất thiết bị công nghiệp, Đinh tán đầu chìm nổi tiếng Việt Nam và thế giới., Đinh rút phi 3mm 1000 cái/gói là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Đinh rút phi 3mm 1000 cái/gói giá rẻ nhất tại Super-mro chỉ với Liên hệ/Gói","['Quy cách:3mm', 'Đặc điểm:1000 cái/gói']","['Thương hiệu: Khác', 'Mã hệ thống: 8C9537', 'Đơn vị: Gói']"
